Year,EPA,Section,System,Plant pop,No cobs,Wt of stalks,Yield of 10 m by 10 m)
2020,Chitheka,,CR,291,162,34, 25.20 
2020,Chitheka,Liungu,DBF,322,396,77.1, 93.93 
2020,Chitheka,Liungu,CR,301,167,31, 24.38 
2020,Chitheka,Liungu,DBF,301,394,80, 96.92 
2020,Chitheka,Liungu,CR,329,184,37, 19.15 
2020,Chitheka,Chitheka,DBF,351,386,87, 88.08 
2020,Chitheka,Chitheka,CR,286,186,32.1, 24.80 
2020,Chitheka,Chitheka,DBF,344,391,90, 86.56 
2020,Chitheka,Chitheka,CR,300,154,34.9, 32.13 
2020,Chitheka,Chitheka,DBF,329,401,77.1, 84.35 
2020,Chitheka,Chitheka,CR,261,222,30.1, 30.46 
2020,Chitheka,Chitheka,DBF,309,386,69.1, 80.85 
2020,Chitheka,Chitheka,CR,286,209,29, 23.07 
2020,Chitheka,Chakupompha,DBF,301,349,80, 84.60 
2020,Chitheka,Chakupompha,CR,246,198,31.6, 27.69 
2020,Chitheka,Chakupompha,DBF,312,361,91, 98.41 
2020,Chitheka,Chakupompha,CR,302,202,32.6, 29.63 
2021,,,,,,,
2022,Emsizini,Emsizini,DBF,413,476,64, 69.75 
2022,Emsizini,Emsizini,CR,356,370,56, 47.33 
2022,Emsizini,Emsizini,DBF,445,533,66, 81.75 
2022,Emsizini,Emsizini,CR,387,390,67, 65.00 
2022,Emsizini,Emsizini,DBF,448,401,43, 46.67 
2022,Emsizini,Emsizini,CR,350,297,40, 29.33 
2022,Emsizini,Emsizini,DBF,568,652,76, 73.33 
2022,Emsizini,Emsizini,CR,420,328,78, 25.00 
2022,Emsizini,Emsizini,DBF,487,521,98, 78.75 
2022,Emsizini,Emsizini,CR,399,402,79, 76.67 
2022,Emsizini,Emsizini,DBF,334,385,48, 52.00 
2022,Emsizini,Emsizini,CR,316,310,40, 45.60 
2022,Emsizini,Emsizini,DBF,465,476,108, 91.67 
2022,Emsizini,Emsizini,CR,410,412,81, 68.25 
2022,Emsizini,Emsizini,DBF,393,627,79, 70.00 
2022,Emsizini,Emsizini,CR,277,300,55.5, 32.33 
2022,Emsizini,Emsizini,DBF,442,454,52, 46.67 
2022,Emsizini,Emsizini,CR,320,307,36, 40.50 
2022,Emsizini,Emsizini,DBF,296,320,35, 58.00 
2022,Emsizini,Emsizini,CR,296,320,35, 96.67 
2022,Emsizini,Emsizini,DBF,538,546,66, 66.15 
2022,Emsizini,Emsizini,CR,359,249,38, -   
2022,Emsizini,Chiwiri,DBF,464,499,77.7, 79.58 
2022,Emsizini,Chiwiri,CR,297,230,34.5, 15.30 
2022,Emsizini,Chiwiri,DBF,546,472,72, 81.00 
2022,Emsizini,Chiwiri,CR,380,320,65, 25.50 
2022,Emsizini,Emsizini,DBF,557,638,90.7, 105.60 
2022,Emsizini,Emsizini,CR,376,304,66, 55.80 
2022,Chiwamba,Mgwazamaya B,DBF,,,,98
2022,Chiwamba,Mgwazamaya B,CR,,,,46.75
2022,Chiwamba,Mgwazamaya B,DBF,,,,60
2022,Chiwamba,Mgwazamaya B,CR,,,,38.25
2022,Chiwamba,Mkhupa ,DBF,,,,79
2022,Chiwamba,Mkhupa ,CR,,,,51.85
2022,Chiwamba,Mkhupa ,DBF,,,,82
2022,Chiwamba,Mkhupa ,CR,,,,46.75
2022,Chiwamba,Mchemani,DBF,,,,50
2022,Chiwamba,Mchemani,CR,,,,45.05
2022,Chiwamba,Mchemani,DBF,,,,86
2022,Chiwamba,Mchemani,CR,,,,54.4
2022,Chiwamba,M’buka B,DBF,,,,57
2022,Chiwamba,M’buka B,CR,,,,41.65
2022,Chiwamba,M’buka B,DBF,,,,69
2022,Chiwamba,M’buka B,CR,,,,51.85
2022,Chiwamba,Mankhamba,DBF,,,,58
2022,Chiwamba,Mankhamba,CR,,,,34
2022,Chiwamba,Mankhamba,DBF,,,,51
2022,Chiwamba,Mankhamba,CR,,,,36.55
2022,,,DBF,,,,65.7
2022,Kamwendo,Namphungo,CR,,,,21.3
2022,Kamwendo,Namphungo,DBF,,,,73.3
2022,Kamwendo,Namphungo,CR,,,,19.8
2022,Kamwendo,Namphungo,DBF,,,,66.1
2022,Kamwendo,Namphungo,CR,,,,25.7
2022,Kamwendo,Muliya,DBF,,,,72.4
2022,Kamwendo,Muliya,CR,,,,11.5
2022,Kamwendo,Muliya,DBF,,,,68.8
2022,Kamwendo,Muliya,CR,,,,9.7
2022,Kamwendo,Muliya,DBF,,,,61.3
2022,Kamwendo,Muliya,CR,,,,10.1
2022,Kamwendo,Kunselema,DBF,,,,52.5
2022,Kamwendo,Kunselema,CR,,,,10.3
2022,Kamwendo,Kunselema,DBF,,,,48.6
2022,Kamwendo,Kunselema,CR,,,,11.2
2022,Kamwendo,Kunselema,DBF,,,,55.4
2022,Kamwendo,Kunselema,CR,,,,13.6
2022,Kamwendo,Kunselema,DBF,,,,61.1
2022,Kamwendo,Kunselema,CR,,,,21.6
2022,Thuchila,Macholowe,DBF,,,,65.9
2022,Thuchila,Macholowe,CR,,,,21.7
2022,Thuchila,Macholowe,DBF,,,,78.5
2022,Thuchila,Macholowe,CR,,,,29.5
2022,Thuchila,Macholowe,DBF,,,,75.6
2022,Thuchila,Macholowe,CR,,,,30.8
2022,Thuchila,Macholowe,DBF,,,,76.8
2022,Thuchila,Macholowe,CR,,,,24.8
2022,Thuchila,Chambe,DBF,,,,69.8
2022,Thuchila,Chambe,CR,,,,21.5
2022,Thuchila,Chambe,DBF,,,,71.2
2022,Thuchila,Chambe,CR,,,,13.4
2022,Thuchila,Chambe,DBF,,,,59.6
2022,Thuchila,Chambe,CR,,,,19.6
2022,Thuchila,Chambe,DBF,,,,65.8
2022,Thuchila,Chambe,CR,,,,21.2
2022,Thuchila,Chikuli,DBF,,,,74.3
2022,Thuchila,Chikuli,CR,,,,31.7
2022,Thuchila,Chikuli,DBF,,,,70.2
2022,Thuchila,Chikuli,CR,,,,23.8
2022,Thuchila,Chikuli,DBF,,,,69.3
2022,Thuchila,Chikuli,CR,,,,33.9
2022,Thuchila,Chikuli,DBF,,,,66.7
2022,Thuchila,Chikuli,CR,,,,28.5
2022,Thuchila,Chisutu,DBF,,,,72.3
2022,Thuchila,Chisutu,CR,,,,32.2
2022,Thuchila,Chisutu,DBF,,,,77.4
2022,Thuchila,Chisutu,CR,,,,30.6
2022,Thuchila,Chisutu,DBF,,,,60.4
2022,Thuchila,Chisutu,CR,,,,23.3
2022,Thuchila,Nkondezi,DBF,,,,69.8
2022,Thuchila,Nkondezi,CR,,,,31.6
2022,Thuchila,Nkondezi,DBF,,,,77.5
2022,Thuchila,Nkondezi,CR,,,,33.5
2022,Thuchila,Nkondezi,DBF,,,,61.3
2022,Thuchila,Nkondezi,CR,,,,29.7
2022,Thuchila,Nsuka,DBF,,,,71.8
2022,Thuchila,Nsuka,CR,,,,33.6
2022,Thuchila,Nsuka,DBF,,,,66.1
2022,Thuchila,Nsuka,CR,,,,31.5
2022,Thuchila,Nsuka,DBF,,,,63.6
2022,Thuchila,Nsuka,CR,,,,38.6
2022,Boma,Chisitu,DBF,,,,69.5
2022,Boma,Chisitu,CR,,,,21.3
2022,Boma,Chisitu,DBF,,,,73.9
2022,Boma,Chisitu,CR,,,,32.9
2022,Boma,Chisitu,DBF,,,,81.1
2022,Boma,Chisitu,CR,,,,33.8
2022,Boma,Likhubula,DBF,,,,58.8
2022,Boma,Likhubula,CR,,,,29.8
2022,Boma,Likhubula,DBF,,,,75.3
2022,Boma,Likhubula,CR,,,,33.8
2022,Boma,Likhubula,DBF,,,,59.5
2022,Boma,Likhubula,CR,,,,19.8
2022,Boma,Thabwa,DBF,,,,65.9
2022,Boma,Thabwa,CR,,,,20.8
2022,Boma,Thabwa,DBF,,,,55.3
2022,Boma,Thabwa,CR,,,,21.2
2022,Boma,Thabwa,DBF,,,,49.5
2022,Boma,Thabwa,CR,,,,15.4
2022,Milonde,Milonde,DBF,,,,80.7
2022,Milonde,Milonde,CR,,,,39.3
2022,Milonde,Milonde,DBF,,,,65.4
2022,Milonde,Milonde,CR,,,,28.3
2022,Milonde,Milonde,DBF,,,,61.4
2022,Milonde,Milonde,CR,,,,27.6
2022,Milonde,Milonde,DBF,,,,78.5
2022,Milonde,Milonde,CR,,,,31.5
2022,Milonde,Milonde,DBF,,,,65.6
2022,Milonde,Milonde,CR,,,,12.1
2022,Milonde,Milonde,DBF,,,,73.7
2022,Milonde,Milonde,CR,,,,9.8
2022,Milonde,Milonde,DBF,,,,78.4
2022,Milonde,Milonde,CR,,,,13.2
2022,Milonde,Milonde,DBF,,,,62.4
2022,Milonde,Milonde,CR,,,,9.1
2022,Milonde,Mimosa2,DBF,,,,48.6
2022,Milonde,Mimosa3,CR,,,,12.5
2022,Milonde,Mimosa2,DBF,,,,51.4
2022,Milonde,Mimosa3,CR,,,,19.7
2022,Msikawanjala,Ntiza,DBF,,,,69.8
2022,Msikawanjala,Ntiza,CR,,,,24.4
2022,Msikawanjala,Ntiza,DBF,,,,56.3
2022,Msikawanjala,Ntiza,CR,,,,29.4
2022,Msikawanjala,Ntiza,DBF,,,,62.3
2022,Msikawanjala,Ntiza,CR,,,,25.3
2022,Msikawanjala,Golden,DBF,,,,46.8
2022,Msikawanjala,Golden,CR,,,,20.3
2022,Msikawanjala,Golden,DBF,,,,44.8
2022,Msikawanjala,Golden,CR,,,,15.4
2022,Msikawanjala,Thembe,DBF,,,,45.4
2022,Msikawanjala,Thembe,CR,,,,19.1
2022,Msikawanjala,Thembe,DBF,,,,36.5
2022,Msikawanjala,Thembe,CR,,,,10.1
2022,Msikawanjala,Thembe,DBF,,,,41.3
2022,Msikawanjala,Thembe,CR,,,,9.6
2022,Msikawanjala,Samera,DBF,,,,47.3
2022,Msikawanjala,Samera,CR,,,,13.7
2022,Msikawanjala,Samera,DBF,,,,38.6
2022,Msikawanjala,Samera,CR,,,,14.3
2022,Msikawanjala,Samera,DBF,,,,51.3
2022,Msikawanjala,Samera,CR,,,,19.6
2022,Msikawanjala,Ntata,DBF,,,,73.5
2022,Msikawanjala,Ntata,CR,,,,39.7
2022,Msikawanjala,Ntata,DBF,,,,69.3
2022,Msikawanjala,Ntata,CR,,,,15.4
2022,Msikawanjala,Ntata,DBF,,,,81.2
2022,Msikawanjala,Ntata,CR,,,,20.6
2022,Msikawanjala,Chonde,DBF,,,,70.3
2022,Msikawanjala,Chonde,CR,,,,33.3
2022,Msikawanjala,Chonde,DBF,,,,68.9
2022,Msikawanjala,Chonde,CR,,,,21
2022,Msikawanjala,Chonde,DBF,,,,64.6
2022,Msikawanjala,Chonde,CR,,,,18.7
2022,Msikawanjala,Chonde,DBF,,,,55.4
2022,Msikawanjala,Chonde,CR,,,,21.1
2022,Msikawanjala,Chonde,DBF,,,,59.2
2022,Msikawanjala,Chonde,CR,,,,19.2
2022,Msikawanjala,Chonde,DBF,,,,48.5
2022,Msikawanjala,Chonde,CR,,,,13.3
2022,Msikawanjala,Nzizira,DBF,,,,80.2
2022,Msikawanjala,Nzizira,CR,,,,32.2
2022,Msikawanjala,Nzizira,DBF,,,,66.4
2022,Msikawanjala,Nzizira,CR,,,,24.9
2022,Msikawanjala,Nzizira,DBF,,,,67.3
2022,Msikawanjala,Nzizira,CR,,,,23.5
2022,Msikawanjala,Chinyama,DBF,,,,71.5
2022,Msikawanjala,Chinyama,CR,,,,32.6
2022,Msikawanjala,Chinyama,DBF,,,,44.8
2022,Msikawanjala,Chinyama,CR,,,,19.8
2022,Msikawanjala,Chinyama,DBF,,,,61.2
2022,Msikawanjala,Chinyama,CR,,,,23.3
2022,Msikawanjala,Sanjika,DBF,,,,59.5
2022,Msikawanjala,Sanjika,CR,,,,26.1
2022,Msikawanjala,Sanjika,DBF,,,,66.7
2022,Msikawanjala,Sanjika,CR,,,,22.2
2022,Msikawanjala,Sanjika,DBF,,,,61.2
2022,Msikawanjala,Sanjika,CR,,,,24.3
2023,Emsizini,Chiwiri,DBF,530,544,54,93.3
2023,Emsizini,Chiwiri,CR,313,286,25,0.0
2023,Emsizini,Chiwiri,DBF,499,536,50.5,100.0
2023,Emsizini,Chiwiri,CR,320,307,36.5,90.0
2023,Emsizini,Chiwiri,DBF,556,504,57,131.8
2023,Emsizini,Chiwiri,CR,353,299,49,85.5
2023,Emsizini,Chiwiri,DBF,504,544,52.5,79.5
2023,Emsizini,Chiwiri,CR,387,390,67,85.0
2023,Emsizini,Emsizini,DBF,485,465,110,87.5
2023,Emsizini,Emsizini,CR,627,387,79,106.8
2023,Emsizini,Emsizini,DBF,487,521,98,80.6
2023,Emsizini,Emsizini,CR,409,400,79,114.6
2023,Emsizini,Emsizini,DBF,477,507,58,82.9
2023,Emsizini,Emsizini,CR,312,305,40,117.3
2023,Emsizini,Baula,DBF,345,557,76,73.3
2023,Emsizini,Baula,CR,402,388,74,87.5
2023,Emsizini,baula,DBF,489,501,62,132.9
2023,Emsizini,baula,CR,370,396,60,117.0
2023,Emsizini,Baula,DBF,344,395,42,62.5
2023,Emsizini,Baula,CR,326,320,61,122.0
2023,Emsizini,Baula,DBF,356,402,35,40.8
2023,Emsizini,Baula,CR,294,300,43,112.0
2023,Emsizini,Baula,DBF,442,454,53,#DIV/0!
2023,Emsizini,Baula,CR,314,307,46,90.0
2023,Emsizini,Emsizini,DBF,348,301,43,38.3
2023,Emsizini,Emsizini,CR,350,290,40,70.5
2023,Emsizini,Emsizini,DBF,450,477,53,156.3
2023,Emsizini,Emsizini,CR,354,297,40,66.0
2023,Emsizini,Emsizini,DBF,423,489,67,72.5
2023,Emsizini,Emsizini,CR,355,370,55,108.0
2023,Emsizini,Emsizini,DBF,562,638,90.9,106.4
2023,Emsizini,Emsizini,CR,366,307,69,68.9
2023,Emsizini,Emsizini,DBF,578,659,78,100.0
2023,Emsizini,Emsizini,CR,410,318,75,73.3
2023,Emsizini,Chibisa Chisi,DBF,504,521,88,128.8
2023,Emsizini,Chibisa Chisi,CR,421,402,75,79.5
2023,Chiwamba,Mkwchuka,DBF,,448,130,91.9
2023,Chiwamba,Mkwchuka,CR,,460,,52.0
2023,Chiwamba,Mkhupa,DBF,,366,111,91.9
2023,Chiwamba,Mkhupa,CR,,298,,39.3
2023,Chiwamba,Mchemani,DBF,,468,146,106.8
2023,Chiwamba,Mchemani,CR,,436,,62.7
2023,Chiwamba,Masompha B,DBF,,406,103,86.1
2023,Chiwamba,Masompha B,CR,,312,,52.7
2023,Chiwamba,Masompha B,DBF,,297,98.7,76.1
2023,Chiwamba,Masompha B,CR,,281,,52.0
2023,Chiwamba,Mnkhupa,DBF,,491,189,155.8
2023,Chiwamba,Mnkhupa,CR,,412,,87.3
2023,Chiwamba,Mkhupa,DBF,,340,115.5,94.5
2023,Chiwamba,Mkhupa,CR,,331,,60.7
2023,Chiwamba,M'buka,DBF,,329,103,86.2
2023,Chiwamba,M'buka,CR,,291,,52.9
2023,Chiwamba,Mngwazamaya,DBF,,372,127,105.9
2023,Chiwamba,Mngwazamaya,CR,,287,,57.3
2023,Chiwamba,M'buka,DBF,,317,98,100.6
2023,Chiwamba,M'buka,CR,,257,,48.5
2023,Chiwamba,mankhamba,DBF,,371,119,100.6
2023,Chiwamba,mankhamba,CR,,317,,46.0
2024,Emsizini,Baula,DBF,496,566,52,105.0
2024,Emsizini,Baula,CR,344,312,41,32.7
2024,Emsizini,Baula,DBF,344,395,42,62.5
2024,Emsizini,Baula,CR,326,320,40,43.6
2024,Emsizini,Baula,DBF,556,504,57,105.9
2024,Emsizini,Baula,CR,353,299,49,38.0
2024,Emsizini,Baula,DBF,504,544,52.5,79.5
2024,Emsizini,Baula,CR,387,390,67,54.4
2024,Emsizini,Baula,DBF,510,610,56.5,85.8
2024,Emsizini,Baula,CR,384,420,69,50.7
2024,Emsizini,Baula,DBF,477,491,79.5,51.0
2024,Emsizini,Baula,CR,527,399,69,44.8
2024,Emsizini,Baula,DBF,496,511,99.5,70.7
2024,Emsizini,Baula,CR,405,399,69,54.6
2024,Emsizini,Baula,DBF,507,703,98,82.9
2024,Emsizini,Baula,CR,444,452,78,77.5
2024,Emsizini,Chiwiri,DBF,600,544,76,66.0
2024,Emsizini,Chiwiri,CR,402,375,67,40.0
2024,Emsizini,Emsizini,DBF,497,522,72,66.7
2024,Emsizini,Emsizini,CR,380,406,61,51.3
2024,Emsizini,Chiwiri,DBF,367,422,49,88.3
2024,Emsizini,Chiwiri,CR,336,326,40,47.4
2024,Emsizini,Chiwiri,DBF,368,412,39,46.8
2024,Emsizini,Chiwiri,CR,289,300,45,32.9
2024,Emsizini,Chiwiri,DBF,500,544,70,57.8
2024,Emsizini,Chiwiri,CR,314,307,40,30.6
2024,Emsizini,Chiwiri,DBF,358,301,49,46.7
2024,Emsizini,Chiwiri,CR,370,292,40.7,32.0
2024,Emsizini,Chiwiri,DBF,470,492,56,54.7
2024,Emsizini,Chiwiri,CR,344,283,51,33.6
2024,Emsizini,Chiwiri,DBF,443,501,72,0.0
2024,Emsizini,Chiwiri,CR,365,392,,50.4
2024,Emsizini,Chiwiri,DBF,560,648,80.5,98.6
2024,Emsizini,Chiwiri,CR,367,301,65,41.3
2024,Emsizini,Chiwiri,DBF,567,645,79,81.7
2024,Emsizini,Chiwiri,CR,405,311,78,27.4
